nome;fone;morada;codigo_postal;nota;preco;email;State;City
MUU Steakhouse;+351 914 784 032;Rua do Almada 149A;4050-037;5;35€-55€;info@muusteakhouse.com;Porto;Porto
Puorto;+351 22 322 9833;Rua de Belomonte, 70;4050-096;5;8€-10€;hello@puorto.pt;Porto;Porto
Euskalduna Studio;+351 935 335 301;Rua Santo Ildefonso, 404;4000-465;5;80€-100€;reservas@euskaldunastudio.pt;Porto;Porto
Pátio do Duque;+351 910 241 451;Avenida Rodrigues de Freitas No 411;4000-422;5;15€-40€;patiododuque@gmail.com;Porto;Porto
Tapabento - Bar Restaurante;+351 912 881 272;Rua da Madeira, 222;4000-330;4,5;;reservastapabento@gmail.com;Porto;Porto
Dama Pé de Cabra;+351 22 319 6776;Passeio de São Lázaro, 5;4000-507;4,5;;damapedecabra@gmail.com;Porto;Porto
Petisqueira Voltaria;+351 22 325 6593;Rua Afonso Martins Alho, 109;4050-018;4,5;3€-30€;;Porto;Porto
Restaurante Almeja;+351 22 203 8120;Rua Fernandes Tomas 819;4000-219;5;20€-55€;geral@almejaporto.com;Porto;Porto
O Paparico;+351 22 540 0548;Rua de Costa Cabral, 2343;4200 232;4,5;;reservas@opaparico.com;Porto;Porto
Wine Quay Bar;+351 22 208 0119;Muro dos Bacalhoeiros, 111 e 112;4050-080;4,5;;winequaybar@gmail.com;Porto;Porto
Laurear;+351 22 316 9960;Rua da Fábrica, 18;4000-201;4,5;2€-15€;;Porto;Porto
Essência Restaurante Vegetariano;+351 22 830 1813;Rua de Pedro Hispano 1196;4250-365;4,5;;geral@essenciarestaurantevegetariano.com;Porto;Porto
Hungry biker;+351 927 174 181;Rua das Taipas 68;4050-597;4,5;3€-12€;hungrybikercafe@gmail.com;Porto;Porto
Droop - food & wine;+351 22 203 3113;Rua Elisio de Melo;4000-196;4,5;8€-20€;geral@restaurantedroop.com;Porto;Porto
éLeBê Entreparedes;+351 22 112 6603;Rua de Entreparedes 37;4000-198;4,5;14€-40€;geral@elebe.pt;Porto;Porto
A Despensa;+351 933 962 261;Rua Conde de Vizela 141;4050-640;4,5;8€-16€;reservas@grupodespensa.com;Porto;Porto
Rua- Tapas & Music Bar;+351 917 356 644;Travessa de Cedofeita nº 24, RC - Loja;4050-183;4,5;;rua.tapas@gmail.com;Porto;Porto
Bacchus Vini;+351 912 852 580;Rua da Lada 14 16;4050-328;4,5;;bacchusvini@hotmail.com;Porto;Porto
Taberna dos Mercadores;+351 22 201 0510;Rua dos Mercadores 36/38;4050-373;4,5;;;Porto;Porto
À Bolina;+351 22 322 4695;Avenida de Gustavo Eiffel 202;4000-279;4,5;;abolinabar@gmail.com;Porto;Porto
Intrigo;+351 969 290 539;Rua Tomás Gonzaga;4050-605;4,5;10€-18€;geral@intrigo.pt;Porto;Porto
All In Porto;+351 22 099 3829;Rua Arquitecto Nicolau Nasoni N17;4050-423;4,5;;info@allinporto.pt;Porto;Porto
Ribeira Square;+351 912 491 771;Praça da Ribeira nº16;4050-513;4,5;;ribeirasquare@gmail.com;Porto;Porto
éLeBê Baixa;+351 22 203 2455;Rua St. Ildefonso, Nº 118 -120;4000-465;4,5;;baixa@elebe.pt;Porto;Porto
Gazela Cachorrinhos da Batalha;+351 22 205 4869;Travessa Cimo de Vila 4;4000-171;4,5;;;Porto;Porto
Porta 4;+351 913 203 489;Rua Doutor Barbosa de Castro 4;4050-090;4,5;;porta.4.porto@gmail.com;Porto;Porto
Belos Aires Restaurante;+351 22 319 5661;Rua do Belomonte 104;4050-096;4,5;15€-25€;belosairesrestaurante@gmail.com;Porto;Porto
Camafeu;+351 937 493 557;Praça Carlos Alberto, 83;4050-158;4,5;;camafeu83@hotmail.com;Porto;Porto
Zenith Brunch & Cocktails Bar;+351 22 017 1557;Praca de Carlos Alberto, 86;4050-158;4,5;10€-15€;porto@zenithcaffe.pt;Porto;Porto
Saboriccia - Produtos Regionais;+351 22 099 6595;Rua de Santa Catarina 303;4000-451;4,5;;armsaboriccia@gmail.com;Porto;Porto
